boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
201911240NYK,"Sun, Nov 24, 2019",NYK,BRK,New York Knicks,Brooklyn Nets,101,103,-2,Home,92.2,True,2020
201911250CLE,"Mon, Nov 25, 2019",CLE,BRK,Cleveland Cavaliers,Brooklyn Nets,106,108,-2,Home,95.3,True,2020
201911270BOS,"Wed, Nov 27, 2019",BOS,BRK,Boston Celtics,Brooklyn Nets,121,110,11,Home,98.4,True,2020
201911290BRK,"Fri, Nov 29, 2019",BRK,BOS,Brooklyn Nets,Boston Celtics,112,107,5,Home,102.0,True,2020
201912010BRK,"Sun, Dec 1, 2019",BRK,MIA,Brooklyn Nets,Miami Heat,106,109,-3,Home,97.7,True,2020
201912040ATL,"Wed, Dec 4, 2019",ATL,BRK,Atlanta Hawks,Brooklyn Nets,118,130,-12,Home,103.0,True,2020
201912060CHO,"Fri, Dec 6, 2019",CHO,BRK,Charlotte Hornets,Brooklyn Nets,104,111,-7,Home,94.2,True,2020
201912080BRK,"Sun, Dec 8, 2019",BRK,DEN,Brooklyn Nets,Denver Nuggets,105,102,3,Home,96.2,True,2020
201912110BRK,"Wed, Dec 11, 2019",BRK,CHO,Brooklyn Nets,Charlotte Hornets,108,113,-5,Home,93.4,True,2020
201912140TOR,"Sat, Dec 14, 2019",TOR,BRK,Toronto Raptors,Brooklyn Nets,110,102,8,Home,109.7,True,2020
201912150BRK,"Sun, Dec 15, 2019",BRK,PHI,Brooklyn Nets,Philadelphia 76ers,109,89,20,Home,101.4,True,2020
201912190SAS,"Thu, Dec 19, 2019",SAS,BRK,San Antonio Spurs,Brooklyn Nets,118,105,13,Home,103.9,True,2020
201912210BRK,"Sat, Dec 21, 2019",BRK,ATL,Brooklyn Nets,Atlanta Hawks,122,112,10,Home,111.2,True,2020
201912260BRK,"Thu, Dec 26, 2019",BRK,NYK,Brooklyn Nets,New York Knicks,82,94,-12,Home,96.2,True,2020
201912300MIN,"Mon, Dec 30, 2019",MIN,BRK,Minnesota Timberwolves,Brooklyn Nets,122,115,7,Home,106.7,True,2020
202001020DAL,"Thu, Jan 2, 2020",DAL,BRK,Dallas Mavericks,Brooklyn Nets,123,111,12,Home,95.5,True,2020
