boxscore_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202411270PHO,2024-11-27,PHO,BRK,Phoenix Suns,Brooklyn Nets,117.0,127.0,-10.0,Home,101.3,True,2025
202411290CHO,2024-11-29,CHO,NYK,Charlotte Hornets,New York Knicks,98.0,99.0,-1.0,Home,93.4,True,2025
202411290MEM,2024-11-29,MEM,NOP,Memphis Grizzlies,New Orleans Pelicans,120.0,109.0,11.0,Home,102.6,True,2025
202411290LAL,2024-11-29,LAL,OKC,Los Angeles Lakers,Oklahoma City Thunder,93.0,101.0,-8.0,Home,91.4,True,2025
202411290IND,2024-11-29,IND,DET,Indiana Pacers,Detroit Pistons,106.0,130.0,-24.0,Home,99.8,True,2025
202411290MIN,2024-11-29,MIN,LAC,Minnesota Timberwolves,Los Angeles Clippers,93.0,92.0,1.0,Home,94.0,True,2025
202411290CHI,2024-11-29,CHI,BOS,Chicago Bulls,Boston Celtics,129.0,138.0,-9.0,Home,103.2,True,2025
202411290POR,2024-11-29,POR,SAC,Portland Trail Blazers,Sacramento Kings,115.0,106.0,9.0,Home,97.8,True,2025
202411290MIA,2024-11-29,MIA,TOR,Miami Heat,Toronto Raptors,121.0,111.0,10.0,Home,97.0,True,2025
202411290ATL,2024-11-29,ATL,CLE,Atlanta Hawks,Cleveland Cavaliers,117.0,101.0,16.0,Home,101.4,True,2025
202411290BRK,2024-11-29,BRK,ORL,Brooklyn Nets,Orlando Magic,100.0,123.0,-23.0,Home,97.0,True,2025
202411300CHO,2024-11-30,CHO,ATL,Charlotte Hornets,Atlanta Hawks,104.0,107.0,-3.0,Home,95.7,True,2025
202411300UTA,2024-11-30,UTA,DAL,Utah Jazz,Dallas Mavericks,94.0,106.0,-12.0,Home,96.6,True,2025
202411300PHO,2024-11-30,PHO,GSW,Phoenix Suns,Golden State Warriors,113.0,105.0,8.0,Home,96.3,True,2025
202411300DET,2024-11-30,DET,PHI,Detroit Pistons,Philadelphia 76ers,96.0,111.0,-15.0,Home,100.5,True,2025
202411300MIL,2024-11-30,MIL,WAS,Milwaukee Bucks,Washington Wizards,124.0,114.0,10.0,Home,99.3,True,2025
202412010HOU,2024-12-01,HOU,OKC,Houston Rockets,Oklahoma City Thunder,119.0,116.0,3.0,Home,99.1,True,2025
202412010MEM,2024-12-01,MEM,IND,Memphis Grizzlies,Indiana Pacers,136.0,121.0,15.0,Home,106.3,True,2025
202412010SAC,2024-12-01,SAC,SAS,Sacramento Kings,San Antonio Spurs,125.0,127.0,-2.0,Home,97.7,True,2025
202412010POR,2024-12-01,POR,DAL,Portland Trail Blazers,Dallas Mavericks,131.0,137.0,-6.0,Home,102.0,True,2025
202412010NYK,2024-12-01,NYK,NOP,New York Knicks,New Orleans Pelicans,118.0,85.0,33.0,Home,99.4,True,2025
202412010LAC,2024-12-01,LAC,DEN,Los Angeles Clippers,Denver Nuggets,126.0,122.0,4.0,Home,100.5,True,2025
202412010TOR,2024-12-01,TOR,MIA,Toronto Raptors,Miami Heat,119.0,116.0,3.0,Home,101.1,True,2025
202412010CLE,2024-12-01,CLE,BOS,Cleveland Cavaliers,Boston Celtics,115.0,111.0,4.0,Home,101.3,True,2025
202412010UTA,2024-12-01,UTA,LAL,Utah Jazz,Los Angeles Lakers,104.0,105.0,-1.0,Home,91.8,True,2025
202412010BRK,2024-12-01,BRK,ORL,Brooklyn Nets,Orlando Magic,92.0,100.0,-8.0,Home,96.4,True,2025
202412020CHI,2024-12-02,CHI,BRK,Chicago Bulls,Brooklyn Nets,128.0,102.0,26.0,Home,103.4,True,2025
202412020MIN,2024-12-02,MIN,LAL,Minnesota Timberwolves,Los Angeles Lakers,109.0,80.0,29.0,Home,94.7,True,2025
202412020ATL,2024-12-02,ATL,NOP,Atlanta Hawks,New Orleans Pelicans,124.0,112.0,12.0,Home,106.8,True,2025
